episode,length,total_reward,avg_q,exploration
201,19000,-0.8256006901594237,28.766546,0.36513673276632586
202,19000,-5.471374285555524,29.316162,0.3633201321057969
203,2204,-0.9196764257136181,30.206585,0.36151256925949943
204,1938,39.525040669134,29.462458,0.35971399926318354
205,1786,-1.6161102696255938,30.010391,0.35792437737630206
206,19000,-9.658149348484862,30.489038,0.3561436590808976
207,1976,-43.288624501429254,29.419239,0.3543718000804952
208,1425,-1.8758591177896875,30.27275,0.35260875629900024
209,19000,-38.590370250840735,31.02039,0.3508544838796023
210,2147,-39.469717938184004,30.850567,0.3491089391836839
211,2375,8.747642043866534,31.330463,0.34737207878973525
212,1748,-10.53287189950423,31.635355,0.34564385949227394
213,2508,-20.943208680501314,31.667011,0.3439242383007701
214,19000,16.410977257738928,32.33146,0.3422131724385773
215,2223,19.216989787560095,31.710743,0.340510619341868
216,2147,-36.92366714098509,33.325478,0.33881653665857514
217,1482,25.402371274940307,33.843475,0.3371308822473385
218,19000,32.42760716836172,35.1969,0.33545361417645625
219,19000,-84.46677202242506,36.14432,0.33378469072284206
220,3629,-128.69851920121164,34.985527,0.3321240703709872
221,1919,-40.480170885394614,35.35851,0.3304717118119276
222,2527,-8.707277070905633,34.972424,0.3288275739422165
223,2318,-85.46301816671803,34.368237,0.327191615862902
224,19000,30.837531126699844,36.37542,0.3255637968785095
225,19000,36.424420394142174,37.009575,0.3239440764960294
226,1254,-38.828882584922155,36.012703,0.3223324144239099
227,19000,40.923346344039324,37.283226,0.3207287705710547
228,2394,20.266668267844764,37.01647,0.3191331050458256
229,1976,23.75504663212834,38.666542,0.31754537815505035
230,19000,0.582380354794445,39.746483,0.3159655504030352
231,2223,31.56373678966071,38.510437,0.3143935824905823
232,19000,36.672477291571,40.163845,0.31282943531401225
233,2033,7.4416971976019965,40.14672,0.31127306996419135
234,19000,0.038582475514741754,39.63813,0.30972444772556357
235,2109,-21.22583735789904,39.57054,0.3081835300751877
236,8550,-206.8766176140246,39.87318,0.3066502786817788
237,19000,1.9067091204725586,40.22421,0.30512465540475503
238,2166,-65.46806414374556,41.80871,0.3036066222932886
239,19000,-19.59394725125944,40.54431,0.30209614158536185
240,19000,0.6350456620670577,41.08771,0.30059317570682775
241,19000,-2.692137859855597,40.72933,0.2990976872704754
242,1710,18.65314237996445,41.16964,0.29760963907509996
243,2128,17.04967673768607,41.229053,0.2961289941045771
244,19000,32.719052623991786,42.58976,0.2946557155269424
245,19000,36.77336651182604,43.135338,0.2931897666934751
246,19000,10.0852137472561,45.036903,0.29173111113778616
